Study name,Open Access,ECPC member,ECPC affiliation,Same sample as,Country,Setting/location,Latitude,Longitude,Longitudinal,Design,Follow-up (months),Quant/qual,Type,Intervention name,Control,Randomized,Sample size,Age 0-8,Age 9-25,Adult,Caregiver,Teacher,Key demographics,Child: Reading,Child: Writing,Child: Mathematics,Child: Cognitive,Child: Language,Child: Executive function,Child: Motor skills,Child: Social-emotional,Child: Mental health,Child: Behavioral,Child: Physical health,Child: Victimization,Caregiver: Mental health & well-being,Caregiver: positive/responsive,Caregiver: harsh/violent discipline,Caregiver: family unit,Caregiver outcomes (detail),Teacher/classroom outcomes,Biomarkers,Findings: Psychometrics,Findings: Descriptive,Findings: Group differences,Findings: Associations,Findings: Moderation,Findings: Mediation,Findings: Intervention impact,Key finding 1,Key finding 2,Key finding 3,Effect sizes,Notes,Authors,Year,Journal,DOI,OA URL,OpenAlex ID,Cited by,Abstract
"Dunne, Laura — 2025 — Editorial: Inclusion of children with social-emotional or behavioral needs in early…",Yes,"Dunne, Laura",Queen's University Belfast,,Romania; United Kingdom,,,,yes,Editorial,,quantitative,intervention,,,unclear,,,,,,,Young children with social-emotional/behavioral needs,,,,,,,,Yes,Yes,Yes,,,,,,,,yes (see abstract),,,,,,,,,"reveal how social attitudes, stigma, and systemic inequities aﬀect the educational experiences of neurodiverse learners in Bangladesh.",Their analysis underscores that inclusive reform,,,,"Huichao Xie, Seaneen Sloan, Ching-I Chen, Laura Dunne",2025,Frontiers in Education,https://doi.org/10.3389/feduc.2025.1739990,https://public-pages-files-2025.frontiersin.org/journals/education/articles/10.3389/feduc.2025.1739990/pdf,https://openalex.org/W4416717975,0,"The seven articles in this Research Topic advance a shared commitment to understanding and improving inclusion through diverse methodologies, geographical contexts, and theoretical lenses. Together, they illustrate how educators, researchers, and policymakers can build systems that are not only equitable but also responsive to the lived realities of children, families, and communities.A central contribution of this Research Topic is the emphasis on co-construction and shared expertise. In Inclusive early childhood education: exploring co-creation and the process of empowerment within participatory research and practice, Carr-Fanning and Rihtman (2025) investigate how participatory research can empower educators and community partners to develop culturally grounded inclusion programs for children with ADHD-type behaviours in Hungary, Romania, and Slovakia. Through collaborative curriculum design and co-created professional learning, they demonstrate how inclusion emerges as both a process and an outcome of empowerment. Their findings underscore that meaningful inclusion is contextually defined and must evolve through reflective partnerships that challenge traditional hierarchies of expertise This participatory ethos resonates across the Research Topic, that is, inclusion cannot be achieved for communities but must be achieved with them. Empowerment, in this sense, becomes both the method and measure of inclusive success.Several contributions highlight the centrality of educator learning and reflective practice in sustaining inclusion. Dionne et al. (2025), in Supporting the inclusion of young children in childcare settings through professional development: perceptions of educators and managers, illustrate how sustained coaching and leadership engagement in Quebec childcare centers enhance educators' competence, confidence, and responsiveness to children's diverse needs. Their findings emphasize that professional learning must be iterative, relational, and embedded wi"
"Dunne, Laura — 2025 — Healthy lives, enriched minds: the role of physical health and mental health on…",Yes,"Dunne, Laura",Queen's University Belfast,,Northern Ireland,,54.79,-6.49,no,"Cross-sectional (multilevel, linked admin data)",,quantitative,observational,,,unclear,61373,,,,,,"Post-primary students, Northern Ireland",,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,Yes,,,,"However, the UK evidence base has since developed, with a greater understanding of the associations between mental health and educational outcomes (e.g., see [ 13]).","Despite this, a lack of research remains in the UK jurisdiction of Northern Ireland, where this relationship has not been previously exam - ined using linked administrative d",,d = -1.01; d = -0.39; d = -0.91; d = -0.48; d = -0.98,,"Erin Early, Sarah Miller, Laura Dunne, Dermot O’Reilly",2025,BMC Public Health,https://doi.org/10.1186/s12889-025-23780-3,https://bmcpublichealth.biomedcentral.com/counter/pdf/10.1186/s12889-025-23780-3,https://openalex.org/W4413409639,0,"BACKGROUND: Health is a multifaceted concept with existing evidence in the UK indicating a negative association between educational outcomes and markers of ill-health. Evidence that disaggregates the influence of physical and mental health conditions on educational attainment, using population wide linked administrative data, varies between UK jurisdictions, with a lack of such research evident in Northern Ireland (NI). This study aims to address this gap by investigating the impact of students' physical and mental health on post-primary attainment in NI. This is a pertinent area as the recent Children and Young People's Emotional Health and Wellbeing in Education Framework outlined the need for cross-departmental collaboration between education and health. METHODS: Using administrative data that linked the household Census (2011), School Leavers Survey (2010-2014) and School Census (2010-2014), this study examines the associations between young people's GCSE attainment, physical health and mental health (n = 61,373). Multilevel models were executed to account for the nested data structure and wider demographic profile of young people. Interaction terms were also tested between factors such as sex, socio-economic background, and physical and mental ill-health markers to determine their effects on attainment. RESULTS: The study confirmed the negative associations between lower post-primary attainment and 'very bad' self-reported health status (d = -1.01, 95% CI: -1.26, -0.75), the presence of a physical health condition (d = -0.39, 95% CI: -0.41, -0.36), mental health condition (d = -0.91, 95% CI: -1.00, -0.82) and an illness/disability that limited daily activity a little (d = -0.48, 95% CI: -0.53, -0.44) or a lot (d = -0.98, 95% CI: -1.04, -0.92). Interaction terms were tested, and significant associations were evident between sex and physical health condition, sex and mental health condition, free school meal eligibility and physical health condition, and the pres"
"Dunne, Laura — 2025 — Investigating Variation in Adherence to Classroom Norms for Smoking and Vaping According…",Yes,"Dunne, Laura",Queen's University Belfast,,,,,,no,unclear,,quantitative,observational,,,unclear,,,,,,,,,,,,,,,,,,,,,,,,,yes (see abstract),,,,,,,,,,,,,[auto-coded from title+abstract; verify location/sample/findings against full text],"Jennifer Murray, Sharon Sánchez-Franco, Olga L. Sarmiento, Erik O. Kimbrough, Christopher Tate, Shannon C. Montgomery, Rajnish Kumar, Laura Dunne, Abhijit Ramalingam, Erin L. Krupka, Felipe Montes, Huiyu Zhou, Laurence Moore, Linda Bauld, Blanca Llorente, Frank Kee, Ruth Hunter",2025,SSRN Electronic Journal,10.2139/ssrn.5207799,https://doi.org/10.2139/ssrn.5207799,https://openalex.org/W4410169770,2,
"Dunne, Laura — 2025 — Mediation Analysis Investigating the Mechanisms of Two School-Based Smoking Prevention…",Yes,"Dunne, Laura",Queen's University Belfast,,,,,,no,unclear,,quantitative,intervention,,,unclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,[auto-coded from title+abstract; verify location/sample/findings against full text],"Jennifer Murray, Sharon Sánchez-Franco, Olga L. Sarmiento, Erik O. Kimbrough, Christopher Tate, Shannon C. Montgomery, Rajnish Kumar, Laura Dunne, Allen Thurston, Aideen Gildea, Abhijit Ramalingam, Erin L. Krupka, Felipe Montes, Huiyu Zhou, Laurence Moore, Linda Bauld, Blanca Llorente, Frank Kee, Ruth Hunter",2025,SSRN Electronic Journal,10.2139/ssrn.5207426,https://doi.org/10.2139/ssrn.5207426,https://openalex.org/W4409257489,1,
"Dunne, Laura — 2025 — Moderators of peer influence effects for adolescents’ smoking and vaping norms and…",Yes,"Dunne, Laura",Queen's University Belfast,,Northern Ireland; Colombia,,54.79,-6.49,no,"Intervention (pre/post, moderation analysis)",,quantitative,intervention,ASSIST and Dead Cool smoking-prevention programs,,unclear,"1,344 (12 schools)",,Adolescents aged 12-13,,,,Secondary-school adolescents in Northern Ireland and Bogotá,,,,,,,,,,Yes,,,,,,,,yes (see abstract),,,Yes,,Yes,Yes,,Yes,"Background Peer influence is central to adolescent smoking initiation, yet its impact varies depending on individual and contextual factors.",,,,[auto-coded from title+abstract; verify location/sample/findings against full text],"Jennifer Murray, Sharon Sánchez-Franco, Olga L. Sarmiento, Erik O. Kimbrough, Christopher Tate, Shannon C. Montgomery, Rajnish Kumar, Laura Dunne, Abhijit Ramalingam, Erin L. Krupka, Felipe Montes, Huiyu Zhou, Laurence Moore, Linda Bauld, Blanca Llorente, Frank Kee, Ruth F. Hunter",2025,Frontiers in Psychology,10.3389/fpsyg.2025.1655761,https://public-pages-files-2025.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2025.1655761/pdf,https://openalex.org/W4415781815,3,"Background Peer influence is central to adolescent smoking initiation, yet its impact varies depending on individual and contextual factors. Understanding which moderators (personality, contextual, cultural, and environmental traits) shape these processes can inform more effective prevention strategies. We investigated hypothesized moderators of peer influence for adolescent smoking/vaping norms and other smoking-related outcomes in high and low-middle-income countries (LMICs): Northern Ireland and Bogotá. Methods Across 12 schools ( n = 1,344, age 12–13 years), participants completed novel behavioral economics experiments measuring social norms, and self-report surveys, before and after school-based prevention interventions (ASSIST and Dead Cool). We examined how peer influence effects were moderated by setting, intervention type, gender, school socio-economic status (SES), personality traits, social network positions, and self-efficacy. Moderation was examined using regressions with interactions between peer-group means (friends, school classes, school year groups) of the outcome variables and moderators ( p ≤ 0.01). Results Peer influence was moderated by study setting, intervention, gender, school SES, personality characteristics (pro-sociality, fear of negative evaluation, extraversion), and social network structure. Effects were stronger among girls and in schools with lower SES. ASSIST schools showed greater peer influence effects than Dead Cool, reflecting the programs’ distinct mechanisms, as ASSIST operates primarily through network diffusion and Dead Cool through teacher-led instruction and skills-building. Network measures highlighted that peer influence was stronger amongst more central individuals and more homogenous networks. Conclusion Susceptibility to peer influence depends on contextual, individual, and network factors. Future social norms interventions should provide information on both injunctive and descriptive norms and highlight the social consequences of smoking, particularly in LMICs. Gender-tailored approaches are needed to address heightened susceptibility among girls. Future intervention research should combine peer-led diffusion approaches with teacher-led instruction to maximize reach and sustainability in different contexts. Social influence-based interventions may be particularly beneficial for schools with lower SES or in LMICs without tobacco control legislation, where smoking remains largely normalized. Network-based interventions like ASSIST could benefit from careful consideration of which network metrics are used to select peer leaders (e.g., eigenvector or closeness centralities) and exploring alternative approaches for more heterogeneous networks (e.g., ‘segmentation’, which targets clusters of individuals within social networks)."
"Dunne, Laura — 2025 — Parental health and educational outcomes: The influence of parents’ health status on…",Yes,"Dunne, Laura",Queen's University Belfast,,Northern Ireland; United Kingdom,,,,no,unclear,,quantitative,observational,,,unclear,40003,,,,,,parents,,,,,,,,,Yes,,Yes,,Yes,,,,mental health/wellbeing,,,,,,Yes,,,,https://doi.org/10.23889/ijpds.v10i3.3114 July 2025©The Authors.,Open Access under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en),,p=.003; p=.123; p=.043; p=.049,,"Sarah Miller, Erin Early, Laura Dunne",2025,International Journal for Population Data Science,https://doi.org/10.23889/ijpds.v10i4.3115,https://ijpds.org/article/download/3115/6423,https://openalex.org/W4413775168,0,"ObjectivesParental physical and mental health has been shown to negatively affect children’s educational attainment; however, the extent and strength of this relationship can vary. The objective of this analysis was to explore the nature of this association using linked administrative data collected from parents and young people in Northern Ireland. Methods Using the household Census (2011), School Leavers Survey (2010-2014) and School Census (2010-2014), the analysis included n=40,003 families. This represents the first occasion in Northern Ireland where student attainment has been linked to parental health status. Maternal and paternal health status was self-reported and included: health status (5-point likert scale) and a yes/no indicator for the presence a mental health condition and/or a physical health condition. Multilevel models accounted for the hierarchical data structure and several control variables were also included in the model (wider demographic variables and the young person’s own physical and mental health status). Results The analysis showed that maternal and paternal self-reported health status (rated from very good health to very bad health) is not statistically significant in relation to pupil attainment. However, the presence of a maternal physical health condition (b=.63, SE=.21, p=.003) is significantly associated with lower pupil attainment, whilst the presence of a paternal physical health condition (b=-.31, SE=.20, p=.123) did not show a statistically significant effect. For mental health, both maternal (b=-.64, SE=.32, p=.043) and paternal mental health (b=-.77, SE=.39, p=.049) were statistically significant factors, with pupils who had one or both parents reporting poor mental health exhibiting lower attainment scores at GCSE. Conclusion This study distinguishes maternal and paternal health effects on attainment, confirming the importance of family and context. It is the first to use Northern Ireland population-wide data to analyse both"
"Dunne, Laura — 2025 — Primary school-based food environment intervention increases diet diversity: Project…",Yes,"Dunne, Laura",Queen's University Belfast,,Northern Ireland,Primary schools,54.79,-6.49,yes,RCT,,quantitative,intervention,Project Daire (Nourish; Engage),Control (delayed),yes,445,Children aged 6-7,Children aged 10-11,,,,Primary-school children aged 6-7 and 10-11,,,,,,,,,,Yes,Yes,,,,,,yes (see abstract),,,,,Yes,Yes,,,,"Among the 10-11-year-olds who received the Nourish intervention, significant increases were observed in the school DDS (adjusted mean difference = 2.79, 95% CI: 1.44–4.14; p < 0.001) and total DDS (adjusted mean difference = 1.55, 95% CI: 0.65–2.44; p = 0.001) compared to their counterparts who did not receive it.","Among the 10-11-year-olds who received the Nourish intervention, significant increases were observed in the school DDS (adjusted mean difference = 2.79, 95% CI: 1.44–4.14; p < 0.001) and total DDS (adjusted mean difference = 1.55, 95% CI: 0.65–2.44; p = 0.001) compared to their counterparts who did not receive it.",,p < 0.001; p = 0.001,,"Dilara Olgacher, Ciara Wallace, Sarah Brennan, Fiona Lavelle, Sarah E. Moore, Michelle C. McKinley, Patrick McCole, Ruth F. Hunter, Laura Dunne, Chris R. Cardwell, Danielle McCarthy, Jayne V. Woodside",2025,International Journal of Behavioral Nutrition and Physical Activity,https://doi.org/10.1186/s12966-025-01842-4,https://ijbnpa.biomedcentral.com/counter/pdf/10.1186/s12966-025-01842-4,https://openalex.org/W4416505020,0,"This study explored the effects of Project Daire, a school-based food intervention, on secondary dietary outcomes Diet Diversity Score (DDS) and Diet Quality Score (DQS), among 6–7 and 10-11-year-old children. A randomised-controlled, factorial design trial was conducted in 15 Northern Ireland primary schools across four intervention arms: Nourish, Engage, Nourish and Engage, and Control (Delayed). Nourish modified the school food environment and increased exposure to local foods, while Engage delivered educational activities on nutrition, food, and agriculture. Food consumption data were collected at baseline and at up to a 6-month follow-up. DDS and DQS (at home, at school and/or total) were determined based on the UK Eatwell Guide. A total of 445 children aged 6–7 and 458 aged 10–11 completed the trial. Among the 10-11-year-olds who received the Nourish intervention, significant increases were observed in the school DDS (adjusted mean difference = 2.79, 95% CI: 1.44–4.14; p < 0.001) and total DDS (adjusted mean difference = 1.55, 95% CI: 0.65–2.44; p = 0.001) compared to their counterparts who did not receive it. No such changes were observed in the DDS of 6-7-year-olds in the Nourish group, nor in either age group receiving the Engage intervention. The DQS of both age groups remained unchanged across all intervention groups. The Nourish intervention was associated with improved dietary diversity among older children through modifications to the whole-school environment. However, the absence of measurable effects on diet quality highlights the need for future iterations of Project Daire to incorporate additional strategies. These should include targeted approaches to improve diet quality, foster active parental engagement, utilize validated dietary assessment tools, and ensure sustained implementation. ClinicalTrials.gov Identifier: NCT04277312."
"Dunne, Laura — 2025 — Process evaluation of Project Daire: a food environment intervention that impacted food…",Yes,"Dunne, Laura",Queen's University Belfast,,United Kingdom (Northern Ireland),Primary schools,,,no,qualitative,,mixed,intervention,Project Daire (Nourish; Engage),,not applicable,488,Children aged 6-7,Children aged 10-11,,,,Primary-school pupils and teachers,,,,,Yes,,,,Yes,Yes,Yes,,,,,,,yes (see abstract),,,Yes,,Yes,,,,"Activities were supported by lesson plans, videos, books, worksheets, games, visits and practical experiments.","Engage was developed by the research team in conjunc - tion with stakeholders, including primary school teachers and local food producers, who helped advise on type of content, integration of content wit",,,,"Naomi Anderson, Sarah Brennan, Fiona Lavelle, Sarah E. Moore, Dilara Olgacher, Amy Junkin, Moira Dean, Michelle C. McKinley, Patrick McCole, Ruth F. Hunter, Laura Dunne, N.E. O’Connell, Christopher T. Elliott, Danielle McCarthy, Jayne V. Woodside",2025,BMC Public Health,https://doi.org/10.1186/s12889-025-21628-4,https://link.springer.com/content/pdf/10.1186/s12889-025-21628-4.pdf,https://openalex.org/W4407165977,2,"BACKGROUND: Project DAIRE was a randomised-controlled, factorial design trial which aimed to improve children's health-related quality of life, wellbeing, food knowledge and dietary habits via two multi-component interventions: Nourish and Engage. Nourish was an intervention aiming to alter the school food environment, provide food-based experiences and expose pupils to locally produced foods. Engage was an age-appropriate cross-curricular food education intervention incorporating food, agriculture, nutrition science and related careers. The purpose of this study was to conduct a process evaluation to evaluate DAIRE implementation, mechanisms of impact (MOI) and context to elucidate trial results, and inform scalable implementation of the DAIRE approach for successful future rollout. METHODS: The Medical Research Council's (MRC) framework for process evaluation was followed. Formal (questionnaires designed for process evaluation) and informal (researcher records and communications) methods were used to collect quantitative and qualitative data during the DAIRE trial in relation to process evaluation. Quantitative data were analysed using descriptive statistics and qualitative data via thematic analysis to identify key themes. RESULTS: Fifteen schools and 983 pupils (n = 495 6-7 year olds/Year 3 and n = 488 10-11 year olds/Year 7) were recruited for the 6-month DAIRE intervention; a 100% retention rate was observed at the school level and the interventions had a high level of pupil and teacher acceptability. Nourish schools delivered a higher mean dose of intervention elements (61.4%) than Engage (50%) schools but, overall, mixed implementation of both interventions occurred. DAIRE produced change through four key MOI: social learning, experimental learning, interactive engaging content and real-life connections. Lack of time was the main contextual barrier to implementation and lack of financial cost to schools indicated as a potential facilitator. CONCLUSIONS: This"
"Dunne, Laura — 2025 — Understanding the impact of students’ health on educational attainment: New evidence from…",Yes,"Dunne, Laura",Queen's University Belfast,,United Kingdom (Northern Ireland),,,,no,Policy brief,,quantitative,observational,,,unclear,,,,,,,"Students, Northern Ireland",,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,"The brief draws on evidence from existing research and our most recent study, which uses the first linked, de-identified dataset for education that combines the household census for Northern Ireland (2011), School Leavers Survey and School Census*.<br/><br/>The study examines GCSE attainment outcomes according to students’ self-reported physical health status and mental health status, while also accounting for their school and wider socio-demographic profile (for example, their sex, socio-economic background, religious affiliation and ethnicity).<br/><br/>The key health factors explored in our study are students’ self-reported health status, presence of a health problem/disability that limited daily activity and presence of a physical and/or mental health condition.",,,,[auto-coded from title+abstract; verify location/sample/findings against full text],"Erin Early, Sarah Miller, Laura Dunne, Elizabeth Nelson Gorman",2025,Research Portal (Queen's University Belfast),10.17034/megb-n136,https://pureadmin.qub.ac.uk/ws/files/689320588/Policy_Brief_-_Education_and_Health_in_Northern_Ireland.pdf,https://openalex.org/W7162766519,0,"The brief draws on evidence from existing research and our most recent study, which uses the first linked, de-identified dataset for education that combines the household census for Northern Ireland (2011), School Leavers Survey and School Census*.<br/><br/>The study examines GCSE attainment outcomes according to students’ self-reported physical health status and mental health status, while also accounting for their school and wider socio-demographic profile (for example, their sex, socio-economic background, religious affiliation and ethnicity).<br/><br/>The key health factors explored in our study are students’ self-reported health status, presence of a health problem/disability that limited daily activity and presence of a physical and/or mental health condition. This policy brief provides an outline of the current evidence base, the key messages from our research, and their implications for policy and practice aiming to improve attainment outcomes for students, particularly those with poor physical health and/or mental health."
"Dunne, Laura — 2026 — Evaluating the Effects of the Crescendo Programme on Music and Self-Regulation with…",Yes,"Dunne, Laura",Queen's University Belfast,,United Kingdom (Northern Ireland),Primary schools (disadvantaged communities),,,no,quasi-experimental,,quantitative,intervention,Crescendo (music-based SEL program),Matched control schools,no,559,Children aged 5-6,,,,,Children aged 5-6 in socioeconomically disadvantaged communities,,,,,,Yes,,Yes,,Yes,,,,,,,,yes (see abstract),,,,Yes,,,,,"The findings indicated significant positive effects of the programme across all outcome domains, with moderate effects observed in self-regulation (Cohen’s d = 0.29) and reaction to music (Cohen’s d = 0.21) compared to control schools.",,,d = 0.29; d = 0.21,,"Liam O’Hare, Conneth Poland, Leeanne O’Hara, Aideen Gildea, Junyi Wang, Sarah Miller, Laura Dunne",2026,Education Sciences,https://doi.org/10.3390/educsci16010092,https://www.mdpi.com/2227-7102/16/1/92/pdf,https://openalex.org/W7118918012,2,"Crescendo is a music-based social and emotional learning (SEL) programme designed for primary/elementary school children living in disadvantaged communities. It is a community-led, orchestra-delivered, and evidence-informed initiative aimed at improving children’s musical and SEL outcomes through sustained engagement. Children growing up in socioeconomically disadvantaged areas often experience challenges with SEL and limited access to orchestral music education. However, emerging research suggests a relationship between music participation and SEL development. This study evaluated the initial impact of Crescendo on 559 children aged 5–6 in their first year of participation (Year 1 of 7). A quasi-experimental, rolling cohort design compared pupils in four participating Crescendo schools with pupils in four matched control schools not receiving the programme. Outcome measures included music skills (beat, pitch, and reaction to music) and SEL (behavioural self-regulation). The findings indicated significant positive effects of the programme across all outcome domains, with moderate effects observed in self-regulation (Cohen’s d = 0.29) and reaction to music (Cohen’s d = 0.21) compared to control schools. These results suggest that collaboration between orchestral musicians and educators can positively influence young children’s musical and SEL development in resource-constrained settings. The findings also underscore the importance of clearly defined programme models to support replication and scalability."
"Foulds, Kim — 2023 — Formative research adaptations and innovations",Yes,"Foulds, Kim",Sesame Workshop,,Bangladesh; Brazil; Colombia; India; Jordan,,23.68,90.36,no,Formative research / methods chapter,,quantitative,observational,,,unclear,,Young children,,,,,caregivers,,,,,,,,,,Yes,,,,,,,yes (see abstract),,,,,,,,,,"Findings and actionable recommenda­ tions are then provided to the production and education teams for content reﬁne­ ment to reinforce content appeal, relevance, and comprehensibility.","Based on this process, using the animatics provided by the production team, the New York- based",,,,"Kim Foulds, Samera Zaidi, Belynda Agu, Rehnuma Akhter, Carolina Casas, Ayobisi Osuntusa, Mari Payne, Apurba Shikder, Sukhna Sawhney",2023,,https://doi.org/10.4324/9781003415213-10,https://api.taylorfrancis.com/content/chapters/oa-edit/download?identifierName=doi&identifierValue=10.4324/9781003415213-10&type=chapterpdf,https://openalex.org/W4388199202,1,"From broadcast television to community outreach initiatives, Sesame Workshop uses formative research to assess the appeal, engagement, relevance, and comprehensibility of its media content. Through this process, young children and caregivers become vital partners in the content creation process. As Sesame Workshop expands its scope to support the needs of children around the world, formative research continues to be the grounding force in creating culturally relevant educational media content (Foulds & Bucuvalas, 2019; Kohn et al., 2021; Foulds et al., 2021). Before the pandemic, in-person data collection was a core component of the formative research process. However, COVID-19-related safety protocols and movement restrictions posed significant barriers to traditional methods, inspiring Sesame Workshop teams to develop new approaches, leveraging both in-person and remote methods. This chapter documents adaptations to Sesame Workshop’s formative research model, using Watch, Play, Learn videos, a series of early learning videos to support families affected by crisis and displacement in Bangladesh, Brazil, Colombia, India, Jordan, Lebanon, Mexico, Nigeria, and South Africa. These examples provide early childhood media content creators and researchers with multiple approaches to conducting research with young children and share initial lessons on remote data collection, which may be especially relevant in emergency settings."
"Foulds, Kim — 2024 — A media-based approach to build preschoolers’ playful problem-solving skills in South…",No,"Foulds, Kim",Sesame Workshop,,,,,,no,unclear,,quantitative,observational,,,unclear,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,[auto-coded from title+abstract; verify location/sample/findings against full text],"Kim Foulds, Merridy Wilson‐Strydom, Megan Silander, M. Anthony Payne",2024,Journal of Children and Media,10.1080/17482798.2024.2440611,,https://openalex.org/W4405676595,0,
"Foulds, Kim — 2024 — Bridging the cultures of research and practice: The global evolution of <i>Sesame…",No,"Foulds, Kim",Sesame Workshop,,,,,,no,Commentary/reflection,,quantitative,intervention,,,unclear,,,,,,,Children's educational media (Sesame Street),,,,Yes,,,,,,,,,,,,,,,,,,,,,,,"Traditionally, theory and practice are treated as separate silos when designing educational media, or at best, as theory informing practice in a one-way relationship.",,,,[auto-coded from title+abstract; verify location/sample/findings against full text],"Kim Foulds, Leo Burd, Andres S. Bustamante, Kathy Hirsh‐Pasek, Hannah Kye, Lauren Madden, R. Roberts, Farhana Mannan, Candice Potgieter",2024,Journal of Children and Media,10.1080/17482798.2024.2356960,,https://openalex.org/W4400332074,1,"Traditionally, theory and practice are treated as separate silos when designing educational media, or at best, as theory informing practice in a one-way relationship. The relationship between theory and practice, however, is most productive when seen as reciprocal, existing in an iterative relationship with each influencing the other in turn. This paper reflects on the Sesame Street production and research described earlier in this special section, drawing lessons and implications for future theory and research. Implications are also drawn for future productions of Sesame Street and its international co-productions, extensions into ancillary media, and, more broadly, educational media in general, informed by a global advisory panel and the development of a global theoretical framework for future multiplatform content creation. Beyond informing Sesame Workshop's approach to creativity and playful problem solving, this paper offers a model for media makers seeking to bridge the research-practice gap."
"Foulds, Kim — 2024 — Using Diverse Distribution Platforms to Support Young Children’s Coping Strategies in the…",No,"Foulds, Kim",Sesame Workshop,,United States; Latin America; Middle East,,37.09,-95.71,no,Case description / program reflection,,quantitative,intervention,Sesame educational media (diverse distribution platforms),,unclear,,Young children,,,,,refugees/IDPs,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,"Lessons learned in developing and adapting coping strategies for diverse contexts and platforms include learnings for content curation and implementation, engagement of local and regional advisors, and importance of a network of on-the-ground implementing partners.","These findings offer guidance for those developing content and programs for children in conflict and crisis, in particular creators of children's media and outreach programs.",,,,"Kim Foulds, Senait Solomon, Scott B. Cameron, Carolina Casas, David Cohen, Tara Wright, Shanna Kohn, Julia Tomchinsky",2024,Communication Studies,https://doi.org/10.1080/10510974.2024.2339565,,https://openalex.org/W4394607915,1,"Evidence firmly establishes the link between early childhood interventions and the mitigation of the effects of adverse childhood experiences (ACEs). Given the long-term effects of conflict and displacement on children's healthy development, educational mass media can offer critical learning opportunities to mitigate both the impact of learning disruption and the effects of ACEs. This paper will highlight three different ways media, and its diverse distribution platforms, can support young children's understanding and use of coping strategies in the face of significant adversity. Using examples of diverse distribution to reach refugee and migrant children in the United States and across Latin America and the Middle East, this paper will highlight the ways media can support children and families affected by displacement and conflict to develop critical coping strategies. Lessons learned in developing and adapting coping strategies for diverse contexts and platforms include learnings for content curation and implementation, engagement of local and regional advisors, and importance of a network of on-the-ground implementing partners. These findings offer guidance for those developing content and programs for children in conflict and crisis, in particular creators of children's media and outreach programs."
"Ghahremani, Dara — 2023 — Mindfulness and clinical correlates in methamphetamine use disorder",No,"Ghahremani, Dara",UCLA,,,,,,no,unclear,,quantitative,observational,,,unclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[auto-coded from title+abstract; verify location/sample/findings against full text],"Olivia Jarrett, Edythe D. London, Tarannom Mahmoudie, Jaymee Suh, Dara G. Ghahremani, Andy C. Dean",2023,Drug and Alcohol Dependence,10.1016/j.drugalcdep.2023.111029,,https://openalex.org/W4388799206,3,
"Ghahremani, Dara — 2023 — Quantifying metabolites in large brain areas by 3D Echo Planar Spectroscopic Imaging…",No,"Ghahremani, Dara",UCLA,,,,,,no,Methods (MR spectroscopic imaging),,quantitative,observational,,,unclear,,,,,,,,,,,,,,,,,,,,,,,,,,3D Echo Planar Spectroscopic Imaging (brain metabolites),,,Yes,,,,,Spectral averaging of thousands of magnetic resonance spectroscopic imaging voxel spectra over large brain volumes provides a means of assessing low-level and/or hard-to-quantify metabolite differences over large brain volumes between groups of individuals.,,,,[auto-coded from title+abstract; verify location/sample/findings against full text],"Jeffry R. Alger, Maylen Perez Diaz, Joseph O’Neill, Dara G. Ghahremani, Andy C. Dean, Sulaiman Sheriff, Andrew A. Maudsley, Edythe D. London",2023,"Proceedings on CD-ROM - International Society for Magnetic Resonance in Medicine. Scientific Meeting and Exhibition/Proceedings of the International Society for Magnetic Resonance in Medicine, Scientific Meeting and Exhibition",10.58530/2022/1253,,https://openalex.org/W4385554538,0,Spectral averaging of thousands of magnetic resonance spectroscopic imaging voxel spectra over large brain volumes provides a means of assessing low-level and/or hard-to-quantify metabolite differences over large brain volumes between groups of individuals.
