File name,Same sample as,Location,,,,Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Key findings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does the study include a figure(s) illustrating the key study findings?,Does the study include an image/graphic/figure of a conceptual framework?,Notes,,Open Access,ECPC member,ECPC affiliation,Authors,Year,Journal,DOI,OA URL,OpenAlex ID,Cited by,Abstract
**BLANK**,,,,,,Longitudinal,,,Observational,,Intervention/Prevention study,,,,,,,,,,,Key demographics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,** see summary of findings at the beginning of the Discussion section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"** (e.g., Fig 1 in this paper: https://www.bmj.com/content/371/bmj.m2876)",** add anything noteworthy,,,,,,,,,,,,
**BLANK**,,,,,,"** if yes, indicate time between time points, e.g., in years or months",,,** this means no intervention,,Name of the intervention (or brief descriptive title if name is not available),,,Control group?,Assignment to groups randomized?,,,,,,,"** e.g., age range, average age, proportion of gender/sex; socio-economic status, if described in the text",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,** review the Results section; copy-paste description of key findings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**BLANK**,,-------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Country,Setting/location,latitude,longitude,,design,followup (months),quant_qual,type,,control,randomized,,,sample,age_0_8,age_9_25,adult,caregiver,teacher,,Child outcomes,,,,,,,,,,,,,,,,"Caregiver, family, household level",,,,,,,,,Other adult outcomes,,,,"Teacher-, classroom-, or school-level",,,,,Biomakers,,,,,Psychometrics,Descriptive,Group differences,Associations,,"Differential impact (""moderation"")",Mediation,Intervention impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCarthy, Michael — 2025 — Navigating social and emotional learning evidence in a polarized socio-political…",,United States,,,,no,Qualitative pilot study (policy analysis; SEL stakeholder interviews),,mixed,observational,,,not applicable,,,25 SEL stakeholders,,,Yes,,,"25 SEL stakeholders across professions: K-12 educators, school administrators, district personnel, policymakers, parents, and SEL researchers/advocates (United States)",,,,,,,,Yes,,,,,,,,,,,,,,,,yes (see abstract),,,,,,Yes (SEL evidence use in practice/policy),,Yes,,yes (see abstract),,,,,"Qualitative pilot study (25 SEL stakeholders: K-12 educators, administrators, district staff, policymakers, parents, researchers/advocates; grounded-theory; ≥20-interviewee target). SEL research evidence currently lacks accessibility for policymakers, leaders and practitioners and is hard to translate into practice; stakeholders access evidence diversely, mostly via news and education media. | SEL misinformation/disinformation may be MORE accessible to decision-makers than the supportive evidence, risking exclusionary policies; discusses implications for producing, disseminating and using SEL research amid a polarized US socio-political climate.",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,"Qualitative pilot study examining whether and how 25 SEL stakeholders (K-12 educators, administrators, district staff, policymakers, parents, researchers/advocates) understand, access, and use SEL research evidence amid a polarized US socio-political climate that is fueling SEL misinformation/disinformation. Findings: SEL research evidence currently lacks accessibility for policymakers, leaders, and practitioners and is hard to translate into practice; stakeholders access evidence diversely, mostly via news and education media; and SEL misinformation may be more accessible to decision-makers than the supportive evidence. Discusses implications for producing, disseminating, and using SEL research.",,Yes,"McCarthy, Michael",Yale Child Study Center,"Michael F. McCarthy, Eliya Ahmad Herskowitz, Sophie P. Barnes, Zi Jia Ng, Cheyeon Ha, Christina Cipriano",2025,Social and Emotional Learning Research Practice and Policy,https://doi.org/10.1016/j.sel.2025.100170,https://doi.org/10.1016/j.sel.2025.100170,https://openalex.org/W7115703849,2,"An increasingly polarized socio-political climate is diminishing the public's confidence in the SEL research evidence. In some cases, producing misinformation – or false evidence- as well as disinformation – or intentionally false evidence. Both have the potential to contribute to exclusionary policies and inequitable social and emotional experiences for students in the United States. This manuscript explores whether and how SEL stakeholders ( n = 25) understand, access, and use evidence to inform SEL-related decisions across professions, including K-12 educators, school administrators, and district personnel as well as policymakers, parents, and SEL researchers and advocates. Results from this pilot study suggest that SEL research evidence currently lacks accessibility for policymakers, educational leaders, and practitioners, and that the evidence that is available is limited in how it can be translated to and used in practice. How stakeholders identify and use SEL evidence is diverse, and most stakeholders access SEL evidence via news and education media. Opportunities for improving SEL evidence understanding, access, and use in the current U.S. socio-political climate are discussed. Findings suggest that SEL misinformation is likely more accessible to decision makers than the evidence that illustrates the success and benefits of SEL programming. Without continued proof and confirmation about what SEL is and how SEL is benefiting the nation’s youth, false narrative surrounding SEL that is being advocated for by specific groups and politicians is likely to prevail, resulting in continued skepticism about the use of SEL approaches in classrooms. This policy analyses and research study yield significant implications for SEL researchers and other stakeholders interested in creating, disseminating, and using SEL research in practice."
"Miller, Sarah — 2023 — UPDATED PROTOCOL: Universal school‐based programmes for improving social and emotional…",,International,,,,no,Protocol for an evidence and gap map (EGM),,quantitative,review,,,yes,,,n/a (EGM protocol),Yes,Yes,,,,"Universal, school-based SEL programmes for children aged 3–11 years (primary studies, RCTs/cluster RCTs, and systematic reviews)",,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Protocol (no findings). Sets out the methods for a live, searchable evidence and gap map (EGM) to identify and map all primary studies (including randomized and cluster-randomized trials) and systematic reviews on universal, school-based social and emotional learning programmes for young children aged 3–11 years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,"Protocol for a live, searchable evidence and gap map (EGM) to identify and map all primary studies (including randomized and cluster-randomized trials) and systematic reviews on universal, school-based social and emotional learning programmes for young children aged 3–11 years.",,Yes,"Miller, Sarah",Queen's University Belfast,"Jennifer Hanratty, Sarah Miller, Leonor Rodríguez, Paul Connolly, Jennifer Roberts, Seaneen Sloan, Aoibheann Brennan‐Wilson, Daragh Bradshaw, Christopher Coughlan, Nicole Gleghorne, Laura Dunne, Sharon Millen, Aimee Smith, Cadhla O’Sullivan",2023,Campbell Systematic Reviews,https://doi.org/10.1002/cl2.1346,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cl2.1346,https://openalex.org/W4385583530,2,"This is the protocol for an evidence and gap map. The objective of this EGM is to identify and map all primary studies (including randomised and cluster randomised trials) and systematic reviews on universal, school-based social and emotional learning programmes for young children (3-11 years) to create a live, searchable, and publicly available evidence and gap map."
"Miller, Sarah — 2025 — Exploring Developmental Outcomes for Children Attending Community-based Pre-Schools in…",,Timor-Leste,Community-based alternative pre-schools (CBAPs) vs public pre-schools (LINKS study),-8.87,125.73,yes (9 months pre-/post-test),Quasi-experimental pre/post-test with public pre-school control group,9,quantitative,intervention,UNICEF community-based alternative pre-schools (CBAPs),Yes (public pre-school),no,,,607 children from 33 pre-schools (508 completed post-tests),Yes,,,,,607 children recruited from 33 pre-schools in Timor-Leste (508 completed post-tests after 9 months); part of the NIHR-funded LINKS study on ECD and social cohesion/peacebuilding in six conflict-affected LMICs,Yes,,Yes,Yes,,,Yes,Yes,,,,,,,"Holistic ECD (East-Asia Pacific Early Childhood Development Scales, EAP-ECDS)",,,,,,,,,,,,,,,,,,,,,,,,"Quasi-experimental pre/post evaluation (LINKS study; 607 children from 33 pre-schools; 508 post-tested after ~9 months — retention 83.7%, control 75.4% / intervention 87.9%; East-Asia Pacific Early Childhood Development Scales). At baseline the public pre-school group significantly out-performed the CBAP group on all EAP-ECDS domains. | Despite differences in time-in-pre-school and infrastructure, CBAP attendance appeared to CLOSE the baseline developmental gap between the two school types — underscoring the importance of pre-school access for children at highest risk of not reaching their developmental potential, and pointing to the need to scale and rigorously (experimentally) evaluate the programme.",,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,"Quasi-experimental pre/post-test evaluation (LINKS study) of UNICEF community-based alternative pre-schools (CBAPs) vs public pre-schools in Timor-Leste, with 607 children from 33 pre-schools (508 post-tested after ~9 months), assessed with the East-Asia Pacific Early Childhood Development Scales (EAP-ECDS). Despite differences in time-in-pre-school and infrastructure, CBAP attendance appeared to CLOSE the developmental gap seen at baseline between the two school types—underscoring the importance of pre-school access and early learning for children at highest risk of not reaching their developmental potential, and pointing to the need to scale and rigorously (experimentally) evaluate the programme.",,Yes,"Miller, Sarah",Queen's University Belfast,"Laura Dunne, Aoibheann Brennan‐Wilson, Leonardo Ferreira Soares, Dulce Martins da Silva, Antero Benedito Da Silva, Nicole Gleghorne, Sarah Miller, Paul Connolly",2025,Child Care in Practice,https://doi.org/10.1080/13575279.2025.2449852,https://doi.org/10.1080/13575279.2025.2449852,https://openalex.org/W4407097133,2,"There is a substantial body of evidence which indicates that early childhood programmes have a positive effect on children's school readiness, academic achievement, and social and emotional development. Indeed, these benefits can last into adulthood. Based on this evidence base, many countries that strive to build their early childhood education offer to enhance later chances of prosperity. LINKS is an NIHR-funded study, carried out by a team from Queen's University Belfast and Ulster University, with support from UNICEF. The project aims to explore the impact of early childhood development programmes on social cohesion/peacebuilding in six conflict-affected low- and middle-income countries (LMICs); Timor-Leste, Viet Nam, Mali, Egypt, Kyrgyzstan and Tajikistan. This paper will focus on research carried out as part of the LINKS study in Timor-Leste which aimed to evaluate the impact of UNICEF community-based alternative pre-schools (CBAPs) in Timor-Leste. This research, carried out in 2020, employed a quasi-experimental pre- post-test design with a public pre-school control group. A total of 607 children were recruited to participate from 33 pre-schools: 508 completed post-tests after nine months of pre-school exposure to the CBAP programme. The East-Asia Pacific Early Childhood Development Scales (EAP-ECDS) were used to assess the development of children in the current study. Results of the post-test suggest that despite differences in time children spend in pre-school and infrastructure between the school types, attendance at CBAPs appears to close the developmental gap seen at the pre-test (baseline) between children in the two groups. The findings underline the importance of pre-school access and early learning experiences to the development of children at the highest risk of not reaching their developmental potential. The results point to the need to scale the intervention and to carry out an experimental effectiveness evaluation of this promising programme."
"Panter-Brick, Catherine — 2024 — Father Involvement and Child Development: A Prospective Study of Syrian Refugee Families",,Jordan,Syrian refugee families (forced displacement),31.96,35.93,"yes (2 time points, 2021–22)",Prospective longitudinal (father–mother–child triads),,quantitative,observational,,,not applicable,,,160 father–mother–child triads at T1 (105 at T2),Yes,,Yes (fathers & mothers),Yes,,"Syrian refugee families with 4–8-year-old children in Jordan; father–mother–child triads (n=160 at T1, n=105 at T2), 2021–22",,,,,,,,Yes (child SEL),,,,,,,,,Yes (mother mental health),,,,Yes (responsive/involved parenting),,Yes (father involvement; spousal agreement; relationship quality),yes (see abstract),,,,,,,,,,,,,,,"Prospective study (Syrian refugee father–mother–child triads, n=160 T1 / 105 T2; children 4–8). Syrian fathers rated themselves as highly involved — 13% MORE involved than mothers reported them to be (and indicated 17.6% more time with children, ~0.6 more days/week, than mothers reported). Levels of father involvement were largely UNRELATED to child outcomes. | Spousal DISAGREEMENT about father involvement was negatively associated with relationship quality, mother mental health and child social-emotional learning (SEL): in the most discordant families, child SEL was more than 1 SD (43%) below the most concordant families — distinguishing levels of involvement from father–mother agreement.",,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,"Prospective study of father involvement in Syrian refugee families in Jordan (father–mother–child triads, n=160 T1 / 105 T2; children 4–8). Syrian fathers rated themselves as highly involved—about 13% MORE involved than mothers reported them to be. Levels of father involvement were largely UNRELATED to child outcomes. However, spousal DISAGREEMENT about father involvement was negatively associated with relationship quality, mother mental health, and child social-emotional learning (SEL): in the most discordant families, child SEL was >1 SD (43%) below the most concordant families. Distinguishes levels of father involvement from father–mother agreement, and suggests helping parents negotiate caregiving and responsive parenting.",,No,"Panter-Brick, Catherine",Yale University,"Kristin Hadfield, Majd Al‐Soleiti, Rana Dajani, Isabelle Mareschal, Catherine Panter‐Brick",2024,Journal of Child and Family Studies,https://doi.org/10.1007/s10826-024-02809-y,,https://openalex.org/W4392373983,9,
"Panter-Brick, Catherine — 2024 — Physiological and genomic signatures of war and displacement: A comprehensive literature…",,International (refugees in Europe & the Middle East),,,,no,Comprehensive literature review,,quantitative,review,,,not applicable,,,37 publications reviewed (since 2000),,Yes,Yes,,,Review of biological/biomarker studies among refugee populations (forcibly displaced; many relocated in Europe and the Middle East),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes (genomic/epigenetic biomarkers),,Yes (physiological stress biomarkers),Yes (toxic stress / war-related adversity),"Comprehensive review (37 publications since 2000; most refugees relocated in Europe and the Middle East; 24 of 37 studied adults rather than youth/children). Cross-sectional, observational and experimental studies show heterogeneous physiological and genomic (DNA methylation, MAOA, 5-HTT, COMT) responses to war-related adversity and their links to health — e.g., higher BDNF/NGF associated with worse PTSD, depression and anxiety scores when controlling for pre-displacement exposures. | Concludes with four observations: why genomic/physiological biomarkers are valuable; which study designs advance causal/intervention understanding; how to prepare for ethical challenges; and why theoretical frameworks and research procedures need more detailed consideration.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes (theoretical/ethical framework discussion),"Comprehensive review (37 publications since 2000, mostly refugees relocated in Europe and the Middle East) of physiological and genomic biomarkers of war and forced displacement. Cross-sectional, observational, and experimental studies show HETEROGENEOUS human biological responses to war-related adversity and their links to health. Concludes with four observations: why genomic/physiological biomarkers are valuable; which study designs advance causal/intervention understanding; how to prepare for ethical challenges; and why theoretical frameworks and research procedures need more detailed consideration.",,No,"Panter-Brick, Catherine",Yale University,"Jelena Jankovic‐Rankovic, Catherine Panter‐Brick",2024,Psychoneuroendocrinology,10.1016/j.psyneuen.2024.107084,,https://openalex.org/W4397048680,13,
"Panter-Brick, Catherine — 2025 — A Preliminary Investigation of Associations Between Traumatic Events Experienced During…",,Brazil,"Adolescent mothers in a home-visiting intervention, São Paulo",-23.55,-46.63,no,Observational (multivariable regression of diurnal salivary cortisol),,mixed,observational,,,not applicable,,,23 adolescent mothers and 32 infants (saliva at 12 months postpartum),Yes,,Yes (adolescent mothers),Yes,,"Adolescent mothers (14–19) and their infants in São Paulo, Brazil (saliva from n=23 mothers, n=32 infants at 12 months postpartum); part of the Primeiros Laços home-visiting trial",,,,,,,,,Yes,,,,,Yes,,,Yes (maternal trauma/interpersonal violence history),,,,,,,yes (see abstract),,,,,,,,,,,,,Yes (maternal & infant diurnal salivary cortisol),cortisol,"Multivariable regression of diurnal salivary cortisol among adolescent mothers (14–19) and infants in São Paulo (saliva from n=23 mothers, n=32 infants at 12 months postpartum; adjusting for intervention group, infant sex, maternal age, medication and sample timing). Higher-than-average LIFETIME trauma exposure was associated with maternal EVENING cortisol (b=0.472, p=.028); lifetime assaultive-violence exposure likewise (b=0.196, p=.02); and maternal trauma during PREGNANCY was positively associated with INFANT bedtime cortisol (b=0.21, p=.01). | Trauma variables were not associated with maternal or infant morning cortisol — consistent with fetal-programming models of intergenerational trauma transmission.",,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,"Investigation of associations between maternal interpersonal-violence/trauma history and maternal & infant diurnal salivary cortisol among adolescent mothers (14–19) and infants in São Paulo, Brazil (n=23 mothers, 32 infants; 12 months postpartum). Adjusting for intervention group, infant sex, maternal age, medication, and sample timing: higher-than-average LIFETIME trauma exposure was associated with maternal EVENING cortisol (b=0.472, p=.028); lifetime assaultive-violence exposure was likewise associated with maternal evening cortisol (b=0.196, p=.02); and maternal trauma exposure during PREGNANCY was positively associated with INFANT bedtime cortisol (b=0.21, p=.01). Consistent with fetal-programming models of intergenerational trauma transmission.",,No,"Panter-Brick, Catherine",Yale University,"Kyle S. Wiley, Gisele Rodrigues Gouveia, Caroline Camilo, Verônica Euclydes, Catherine Panter‐Brick, Alícia Matijasevich, Alexandre Archanjo Ferraro, Lislaine Aparecida Fracolli, Anna Maria Chiesa, Eurı́pedes Constantino Miguel, Guilherme V. Polanczyk, Helena Brentani",2025,American Journal of Human Biology,https://doi.org/10.1002/ajhb.70004,,https://openalex.org/W4407183228,3,"INTRODUCTION: Interpersonal violence against women is a major global health problem that may have intergenerational effects. This study investigated associations between maternal experiences of interpersonal violence and other traumatic events and maternal and infant salivary diurnal cortisol in a cohort of adolescent mothers in São Paulo, Brazil. METHOD: Adolescent mothers (14-19 years) participating in a home-visiting intervention were interviewed retrospectively about lifetime and pregnancy violence and trauma exposure. Mothers collected saliva at waking and before bedtime from themselves (n = 23) and their infants (n = 32) at 12 months postpartum. Multivariable regression models were used to examine associations between trauma history variables and salivary diurnal cortisol. RESULTS: Adjusting for the intervention group, infant sex, maternal age, non-supplement medication use, and sample collection time, we found that higher-than-average lifetime trauma exposure was associated with maternal evening cortisol (b = 0.472, p-value = 0.028). Lifetime assaultive violence exposure was also associated with maternal evening cortisol (b = 0.196, p-value = 0.02). Maternal exposure to traumatic events in pregnancy was positively associated with bedtime cortisol levels of infants (b = 0.21, p = 0.01). Trauma variables were not associated with maternal or infant morning cortisol levels. CONCLUSION: Results suggest that maternal trauma history influences both maternal and infant postnatal cortisol regulation as indexed by evening cortisol levels. These results are consistent with models of fetal programming; however, future studies should investigate potential postnatal psychobiological pathways. Lifetime trauma exposure may also become embedded in the maternal hypothalamic-adrenal-pituitary axis regulation. Future studies are needed to consider other biological pathways in the intergenerational transmission of trauma."
"Panter-Brick, Catherine — 2025 — Epigenetic signatures of intergenerational exposure to violence in three generations of…",,Jordan,Three generations of Syrian refugee families,31.96,35.93,no,Epigenome-wide association study (3-generation design),,quantitative,observational,,,unclear,,,131 participants from 48 families (mothers + 1–2 children each),Children (1-2 per family),,,Mothers,,refugees/IDPs; mother,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,yes (see abstract),,,,,,,,,,,Yes (DNA methylation / epigenetic age),,Yes,epigenetics,"Epigenome-wide association study across three generations of Syrian refugees (buccal swabs + survey from mothers and 1–2 children in each of 48 families; n=131 participants). Identified differentially methylated regions: 14 associated with germline and 21 with direct exposure to violence; most DMPs showed the SAME directionality of DNAm change across germline, prenatal and direct exposures, suggesting a common epigenetic response to violence. | Also identified epigenetic age acceleration associated with PRENATAL exposure to violence in children — the first reported intergenerational epigenetic signature of violence, with important implications for understanding the inheritance of trauma.",,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In this study, we use the DOHaD hypothesis as a framework to investigate epigenetic variation as a mechanism that mediates the impact of psychosocial trauma on future generations. | Specifically, we propose the presence of differentially methylate",,Yes,"Panter-Brick, Catherine",Yale University,"Connie J. Mulligan, Edward B. Quinn, Dima Hamadmad, Christopher L. Dutton, Lisa Nevell, Alexandra M. Binder, Catherine Panter‐Brick, Rana Dajani",2025,Scientific Reports,https://doi.org/10.1038/s41598-025-89818-z,https://www.nature.com/articles/s41598-025-89818-z.pdf,https://openalex.org/W4408062891,32,"Maternal trauma influences infant and adult health outcomes and may impact future generations through epigenetic modifications such as DNA methylation (DNAm). Research in humans on the intergenerational epigenetic transmission of trauma effects is limited. In this study, we assessed DNAm signatures of war-related violence by comparing germline, prenatal, and direct exposures to violence across three generations of Syrian refugees. We compared families in which a pregnant grandmother versus a pregnant mother was exposed to violence and included a control group with no exposure to war. We collected buccal swab samples and survey data from mothers and 1-2 children in each of 48 families (n = 131 participants). Based on an epigenome-wide association study (EWAS), we identified differentially methylated regions (DMPs): 14 were associated with germline and 21 with direct exposure to violence. Most DMPs showed the same directionality in DNAm change across germline, prenatal, and direct exposures, suggesting a common epigenetic response to violence. Additionally, we identified epigenetic age acceleration in association with prenatal exposure to violence in children, highlighting the critical period of in utero development. This is the first report of an intergenerational epigenetic signature of violence, which has important implications for understanding the inheritance of trauma."
"Panter-Brick, Catherine — 2025 — Supporting the mental health of forcibly displaced children",,International,,,,no,Review (Nature Reviews Psychology),,quantitative,review,,,not applicable,,,n/a (review),Yes,Yes,,Yes,,Forcibly displaced children and adolescents (~50 million under 18 displaced by armed conflict and emergencies),,,,,,,,,Yes,,,,,,,,Yes,,,,,,,mental health/wellbeing; MHPSS,,,,,,,,,,,,,,,"Review (no primary statistics; ~50 million children under 18 forcibly displaced). More than 50% of forcibly displaced children in highly adverse contexts experience mental health problems — over four times the 13% global estimate for non-displaced children — yet up to 90% in LMICs never receive appropriate care (only ~25% resettle in high-income countries; ~69% settle in directly bordering countries). | Synthesizes prevalence, individual differences in response, and existing MHPSS approaches; some interventions have positively influenced displaced children's mental health, but more culturally/contextually relevant, accessible services that also address family and community factors — and links to strategies targeting structural barriers — are needed (socio-ecological framework).",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes (socio-ecological risk/resilience framework),"Review consolidating knowledge on mental health among forcibly displaced children (~50 million under 18). Synthesizes prevalence of mental disorders in displacement settings, individual differences in response to war/displacement, and existing MHPSS approaches. Finds a substantial mental-health burden and a broad range of risk and resilience mechanisms; some MHPSS interventions have positively influenced displaced children's mental health, but more culturally/contextually relevant, accessible, evidence-based services are needed that also address family and community factors. Recommends linking services to strategies targeting adverse conditions and structural barriers and strengthening socio-ecological resources.",,No,"Panter-Brick, Catherine",Yale University,"Michael Pluess, Felicity L. Brown, Catherine Panter‐Brick",2025,Nature Reviews Psychology,https://doi.org/10.1038/s44159-025-00447-9,,https://openalex.org/W4409964612,3,
"Ponguta, Liliana — 2024 — Caregiver Psychopathology, Resilience, and Their Associations with Social-Emotional…",,Colombia,,,,no,longitudinal cohort,,quantitative,observational,,,no,,,487,,,,,,low-income; boys; caregivers,,,,,,,,Yes,Yes,,,,,,,,Yes,,,,,,,mental health/wellbeing,,,,,,,,,,,,,,,"Cohort study (1,133 caregivers, 87.6% female, mean age 29.39; 14 Colombian municipalities; child SEC for ages 21–53 months; resilience subsample n=487). Caregivers reported substantial psychopathology: 12.84% elevated anxiety, 24.5% above the PTSD cutoff, and 44.7% screened positive for depression (among displaced children 13.2% high PTSD vs 6.6% non-displaced). | Child SEC–caregiver psychopathology correlations r=0.15–0.33; the caregiver-depression↔child-SEC association was stronger for boys (B=0.56) than girls (B=0.22); girls whose caregivers reported elevated psychopathology AND low resilience received the highest caregiver-reported SEC ratings. Underscores caregiver–child resilience-focused psychosocial support.",,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Caregivers reported substantial levels of psychopathology ranging from 12.84% of caregivers with elevated anxiety levels, 24.5% who scored above the cutoff on the PTSD measure, and 44.7% who screened positive for depression. | We also found that girls whose caregivers reported elevated levels of psychopathology and low levels of caregiver resilience received the highest ratings of caregiver-reported SEC.",,Yes,"Ponguta, Liliana",Monterrey Institute of Technology and Higher Education,"Sascha Hein, Liliana A. Ponguta, José M. Flores, Amalia Londoño Tobón, Isaac N. S. Johnson, Julie Larran, Ana María Ortiz Hoyos, Óscar Gómez, Lina María González Ballesteros, Camila Andrea Castellanos Roncancio, James F. Leckman",2024,Child Psychiatry & Human Development,https://doi.org/10.1007/s10578-024-01787-y,https://link.springer.com/content/pdf/10.1007/s10578-024-01787-y.pdf,https://openalex.org/W4404638393,2,"We examined the social and emotional challenges (SEC) of young children and the mental health of their caregivers in areas affected by armed conflict and displacement in Colombia. Anxiety, depression, and PTSD symptoms were assessed in 1,133 caregivers. Caregivers also reported on the SEC of their children aged 21-53 months. A subsample of 487 caregivers (43%) completed a resilience self-report measure. Caregivers reported substantial levels of psychopathology ranging from 12.84% of caregivers with elevated anxiety levels, 24.5% who scored above the cutoff on the PTSD measure, and 44.7% who screened positive for depression. Correlations (r) between child SEC and caregiver psychopathology ranged from 0.15 to 0.33. The association between caregiver depression and child SEC was more substantial for boys (B = 0.56) than girls (B = 0.22). We also found that girls whose caregivers reported elevated levels of psychopathology and low levels of caregiver resilience received the highest ratings of caregiver-reported SEC. The importance of caregiver-child resilience-focused psychosocial support is discussed."
"Ponguta, Liliana — 2024 — Effect of a youth-led early childhood care and education programme on children's…",,Pakistan,Rural Sindh; youth-led LEAPS preschools (community villages),25.89,68.52,"yes (4 survey rounds, Jan 2019–Mar 2021)",Cluster randomized controlled trial,,quantitative,intervention,Youth Leaders for Early Childhood Assuring Children are Prepared for School (LEAPS); female-youth-led preschool,Yes,yes (cluster; 99 villages),,,"3,858 children (n=3,852 complete IDELA); ~91 LEAPS preschools",Yes,Yes (female youth leaders),,,,"3,858 preschool-aged children across rural Sindh villages (IDELA assessments, 4 rounds); LEAPS preschools led by trained female youth; avg enrolment 19/preschool",Yes,,Yes,Yes,Yes,,Yes,Yes,,,,,,,"School readiness (IDELA: literacy, numeracy, motor, social-emotional)",,,,,,,,,,,,,,,,,,,,,,,,"Cluster-RCT (3,858 children, n=3,852 with complete IDELA, across four survey rounds Jan 2019–Mar 2021; LEAPS implemented in 91 of 99 villages). LEAPS significantly increased children's school readiness vs control (IDELA overall SMD=0.30, 95% CI 0.20–0.40, p<0.0001). | Among executive-function skills only cognitive flexibility improved (dimensional change card sort SMD=0.22, 95% CI 0.12–0.33, p<0.0001); the effect on total IDELA was larger in round 2, before COVID-19 (SMD=0.37, 95% CI 0.22–0.52). Offers a scalable youth-led model to expand high-quality ECCE and school readiness while creating employment for female youth.",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,"Cluster-RCT of LEAPS—a youth-led early childhood care and education program in which trained female youth deliver community preschools in rural Sindh, Pakistan. LEAPS was implemented in 91 of 99 villages; 3,858 children were assessed with the IDELA across four rounds (Jan 2019–Mar 2021). LEAPS significantly increased children's school readiness vs control (standardized mean difference 0.30, 95% CI 0.20–0.40, p<.0001). Offers a scalable model to expand high-quality ECCE and children's school readiness while creating employment for female youth in low-ECCE-participation settings.",,Yes,"Ponguta, Liliana",Monterrey Institute of Technology and Higher Education,"Aisha K. Yousafzai, Saima Siyal, Emily Franchett, Quanyi Dai, Karima Rehmani, Christopher R. Sudfeld, Shelina Bhamani, Shahnaz Hakro, Chin R. Reyes, Günther Fink, Liliana A. Ponguta",2024,The Lancet Child & Adolescent Health,https://doi.org/10.1016/s2352-4642(24)00304-3,https://ecommons.aku.edu/pakistan_fhs_mc_women_childhealth_paediatr/1574,https://openalex.org/W4404910465,3,
